Date,Alphabet Inc- A shares (GOOGL),Amazon.com Inc (AMZN),Facebook Inc (FB),Microsoft Corp (MSFT),TESLA Inc.,Morgan Stanley (MS),Ferrari N.V. (RACE.MI),Assicurazioni Generali S.p.A. (G.MI),Juventus Football Club S.p.A. (JUVE.MI),Piaggio & C. SpA (PIA.MI),Toscana Aeroporti S.p.A. (TYA.MI),Valsoia S.p.A. (VLS.MI),Bayer Aktiengesellschaft (BAYN.DE),Ryanair Holdings plc (RY4C.IR),Crdit Agricole S.A. (ACA.PA),"Cisco Systems, Inc. (CSCO)"
16-Aug-18,1079.0089,1662.9673,153.998,92.36519,59.13983,39.8923,104.117,13.2768,0.7984600000000001,1.7836,13.8976,14.5218,70.27672,13.66,11.0728,37.1771
17-Aug-18,1069.2184,1655.2242,152.8397,92.09378,53.73134,39.855,103.4773,13.145,0.80905,1.78,13.658,14.6152,71.50804000000002,13.52,11.0335,37.6716
20-Aug-18,1068.351,1640.8077,150.8168,90.95546,53.93383000000001,39.5583,105.0518,13.1723,0.80813,1.7649,13.7059,14.3351,73.67882,13.635,11.056,37.739
21-Aug-18,1059.4143,1638.9894,150.2173,89.77703000000002,56.02475,39.5775,107.4137,13.3359,0.8228700000000001,1.8031,13.7059,14.3818,74.90101999999997,13.485,11.1402,37.2052
22-Aug-18,1055.348,1645.4532,149.9903,90.02288,55.56655,39.3341,106.282,13.4724,0.84129,1.796,13.4663,14.195,76.09586999999998,13.15,11.3198,37.1002
23-Aug-18,1054.1054,1642.5834,149.2473,90.38047,55.26206,38.9267,105.9867,13.4041,0.90253,1.78,13.6101,14.1483,74.74596,13.87,11.2468,37.0986
24-Aug-18,1071.3961,1650.6387,151.2992,91.41338,55.93176999999999,39.0746,108.0041,13.436,0.94305,1.7675,13.6101,14.1483,74.70949,13.895,11.2019,37.4745
27-Aug-18,1078.4452,1654.8172,152.3406,91.58787,54.81548000000001,40.1281,108.0041,13.5087,1.0978,1.8138,13.7539,14.0082,75.38444,14.05,11.2749,37.3514
28-Aug-18,1066.3314,1654.3003,150.8609,91.86569,53.38419,40.0971,108.3978,13.4269,0.99923,1.7711,13.8497,13.8681,75.05608000000002,14.35,11.2281,37.5282
29-Aug-18,1081.7055,1709.0544,150.4543,93.27099,52.17744,40.0308,112.9738,13.386,1.0867,1.7088,13.9455,13.8214,75.46651999999997,14.465,11.2056,37.927
30-Aug-18,1071.2791,1710.0124,151.7028,93.0656,51.77741,39.4475,112.0881,13.1995,1.0867,1.6376,13.8018,13.728,74.38113,14.24,11.1233,37.604
31-Aug-18,1056.0102,1725.4767,150.6516,93.74239,51.72204,39.2224,110.9072,13.0449,1.1291,1.6599,13.8497,13.728,73.31398,14.195,11.0223,38.2457
3-Sep-18,1061.7996,1734.9363,151.4775,94.25631,52.00559000000001,39.4375,110.7104,13.2632,1.1309,1.6679,13.8976,14.2884,73.37783,14.145,11.1159,38.4554
4-Sep-18,1042.8412,1755.8551,147.3551,93.6197,49.75257,39.2917,110.1199,13.2177,1.1291,1.6777,13.7059,14.195,72.81233,13.77,11.2992,38.3755
5-Sep-18,1034.9068,1721.6686,144.28799999999995,91.14816,48.45964,39.3979,106.9708,13.4496,1.1945,1.7302,13.5622,14.195,71.58100999999998,13.6,11.4806,38.1005
6-Sep-18,1017.5923,1683.0896,139.6881,90.97612,48.29307,38.5969,107.266,13.4814,1.2368,1.7382,13.5142,14.195,68.3066,13.56,11.475,37.9492
7-Sep-18,1013.4104,1679.9124,140.309,90.65067,45.30782,38.8811,108.1517,13.4587,1.2976,1.7222,13.6101,14.2417,67.02967,13.53,11.2917,37.8138
10-Sep-18,1016.3921,1677.1862,142.0108,92.09827,49.3898,38.8525,107.4629,13.7543,1.4017,1.7622,13.6101,14.195,66.07198000000001,13.2,11.3983,38.0229
11-Sep-18,1026.2117,1713.6587,143.1017,93.38281,48.19614,38.6711,109.0374,13.6724,1.3566,1.7853,13.6101,14.195,64.15657,13.05,11.3684,37.8763
12-Sep-18,1010.3414,1716.0972,139.7024,93.77632,50.11004000000001,38.3636,111.8913,13.6542,1.3814,1.7889,13.4184,14.195,64.12009,13.2,11.3104,37.7632
13-Sep-18,1016.5221,1711.0891,138.7535,94.51324,49.78133,38.4475,112.4817,13.6861,1.3741,1.8031,13.5622,14.3818,63.98328000000001,13.05,11.4956,37.9365
14-Sep-18,1007.5266,1685.104,138.8324,94.39068,50.49693,38.6185,112.7278,13.6724,1.3925,1.7996,13.5622,14.3351,65.50647,13.21,11.5592,37.8614
17-Sep-18,997.36087,1640.753,138.0859,93.87089,50.70776,38.4162,111.1532,13.7543,1.4468,1.837,13.5622,14.0082,66.49154,13.52,11.6808,37.833
18-Sep-18,1000.1662,1663.4017,137.3706,94.44033,48.83985,38.4204,115.5324,13.7452,1.4717,1.8459,13.5622,14.0082,66.85637,13.645,11.6958,37.9828
19-Sep-18,1005.3751,1649.3435,139.6071,93.09484,51.20241,39.3878,114.0071,13.7679,1.5398,1.8654,13.4663,13.728,67.52219000000001,13.79,11.8698,37.8039
20-Sep-18,1020.6508,1665.409,142.20600000000005,94.69642,51.10749000000001,40.0317,114.7943,13.7815,1.456,1.8637,13.3226,13.9148,69.15485,13.485,12.0886,38.1811
21-Sep-18,995.35238,1626.207,138.3585,94.45205,50.79854,39.3133,115.0404,13.9361,1.4689,1.853,13.4184,13.8214,69.7933,13.475,12.1466,38.5108
24-Sep-18,1003.7938,1646.1209,140.7623,94.9919,51.00493,38.7189,116.0737,13.9225,1.4164,1.8512,13.3226,13.8214,69.45583,13.09,11.9708,38.4971
25-Sep-18,1015.8216,1680.0463,140.3137,94.79408,51.21948,38.4893,117.107,14.0953,1.4044,1.8565,13.4663,13.7747,68.95418000000001,13.0,12.0531,38.5146
26-Sep-18,1015.0827,1678.8402,141.9259,94.32272,52.63543000000001,37.9939,118.3863,14.118,1.4173,1.8298,13.2267,13.8214,69.73859,13.105,12.1092,38.4335
27-Sep-18,1027.669,1713.3888,143.7116,94.79661,52.35038,38.0971,118.6323,14.0362,1.3989,1.8263,13.3705,13.6813,70.82398,13.15,12.1111,38.4178
28-Sep-18,1037.2437,1721.1778,141.3205,95.66855,45.50337,37.4948,116.7133,13.5315,1.3529,1.7542,13.2746,13.8214,69.78419,13.12,11.5854,39.0415
1-Oct-18,1041.3542,1727.0970000000002,139.9697,96.97255,53.54418,37.6466,117.353,13.4724,1.3492,1.7675,13.2267,13.588,69.17308,11.48,11.3534,39.3263
2-Oct-18,1043.0868,1702.6991,137.6197,96.8187,52.00059,37.7371,117.1562,13.3178,1.3317,1.7649,13.4184,13.6346,68.02385,11.34,11.4245,39.5337
3-Oct-18,1048.7848,1690.4452,140.6107,97.05188,51.03988,38.2107,117.0578,13.3814,1.2267,1.7764,13.3705,13.4012,68.02385,11.625,11.5966,39.7271
